script_id,imdb_character_name,words,gender,age
6495,barr,232,m,NULL
6495,cash,344,m,81
6495,charlie,390,m,26
6495,emerson,810,m,36
6495,helen,2450,f,33
6495,linsky,188,m,35
6495,rob farrior,187,m,58
6495,rodin,496,m,65
6495,sandy,260,f,20
6495,the zec,410,m,70
6495,woman on bus,198,f,NULL
6509,amy courtland,129,f,NULL
6509,dr. ellman,226,m,53
6509,farber,150,m,NULL
6509,insp. brie,308,m,65
6509,jane,143,f,38
6509,michael courtla,2025,m,53
6509,newscaster,175,m,50
6509,Robert Lasalle,877,m,31
6509,sandra portinar,1398,f,34
6509,ticket agent,116,m,40
6511,detective,278,f,NULL
6511,detective farme,245,m,52
6511,dr. verringer,374,m,38
6511,jefe,144,m,53
6511,marty augustine,332,m,44
6511,morgan,228,m,36
6511,philip marlowe,3694,m,35
6511,roger wade,1562,m,57
6511,terry lennox,627,m,34
6512,captain jack wa,1338,m,47
6512,captain james b,598,m,49
6512,coates,197,m,36
6512,detective dante,475,m,47
6512,detective paul ,972,m,27
6512,detective tom l,4247,m,44
6512,grill,167,m,29
6512,linda washingto,373,f,32
6512,megan,612,f,NULL
6512,scribble,147,m,44
6512,Sgt. Mike Clady,518,m,38
6514,2nd lieutenant,560,m,NULL
6514,capt. 'painless,417,m,30
6514,cpl. 'radar' o',418,m,27
6514,dr. oliver 'spe,551,m,32
6514,duke forrest,1993,m,37
6514,hawkeye pierce,5284,m,35
6514,ho-jon,247,m,NULL
6514,korean doctor,257,m,45
6514,lt. col. henry ,1006,m,38
6514,maj. frank burn,544,m,39
6514,maj. margaret ',593,f,33
6514,sgt. major voll,126,m,29
6514,trapper john mc,1973,m,32
6515,anthony meredit,406,m,34
6515,barnes,139,m,33
6515,bertha,243,f,NULL
6515,constable dexte,104,m,NULL
6515,constance trent,1171,f,67
6515,dorothy,312,f,39
6515,elsie,939,f,34
6515,george,230,m,44
6515,henry denton,351,m,27
6515,inspector thomp,494,m,44
6515,isobel mccordle,310,f,25
6515,ivor novello,353,m,40
6515,jennings,783,m,67
6515,jeremy blond,182,m,22
6515,lord raymond st,475,m,55
6515,louisa stockbri,210,f,34
6515,mary maceachran,1210,f,25
6515,morris weissman,603,m,56
6515,mrs. croft,392,f,67
6515,mrs. wilson,600,f,56
6515,probert,195,m,63
6515,robert parks,520,m,37
6515,strutt,155,m,NULL
6515,william mccordl,331,m,61
6518,eva cuza,781,f,28
6518,father fonescu,313,m,53
6518,glaeken,366,m,42
6518,kaempffer,675,m,33
6518,lutz,119,m,32
6518,magda,392,f,NULL
6518,radu molasar,174,m,36
6518,woermann,1071,m,42
6522,big evil,186,m,NULL
6522,brian taylor,3166,m,32
6522,captain reese,224,m,NULL
6522,ck,119,m,NULL
6522,demon,103,m,NULL
6522,gabby,295,f,28
6522,janet,432,f,27
6522,la la,243,f,NULL
6522,mike zavala,2662,m,36
6522,mr. tre,398,m,NULL
6522,orozco,186,f,28
6522,sarge,514,m,49
6527,annette,303,f,52
6527,becky,179,f,24
6527,bonnie,165,f,31
6527,buddy,182,m,31
6527,claire bennett,3517,f,45
6527,jason bennett,175,m,40
6527,nina collins,278,f,29
6527,nurse gayle,118,f,37
6527,roy collins,589,m,38
6527,silvana,716,f,58
6529,caroline,344,f,26
6529,lucy,2668,f,30
6529,phone voice roy,131,f,NULL
6529,pierre del rio,337,m,41
6529,Professor Norma,1510,m,77
6529,regent hotel co,105,m,36
6529,richard,486,m,32
6529,taipei surgeon,154,m,NULL
6529,the limey,235,m,46
6535,digger holt,297,m,71
6535,dr. pritchard,714,m,NULL
6535,fred clawson,190,m,42
6535,garrison,165,m,NULL
6535,homer gamache,411,m,NULL
6535,liz beaumont,1300,f,43
6535,man in the hall,200,m,NULL
6535,mike donaldson,417,m,53
6535,miriam cowley,124,f,51
6535,rick cowley,150,m,46
6535,shayla beaumont,199,f,44
6535,sheriff alan pa,1470,m,38
6535,thad beaumont,4912,m,33
6537,gerald olin,541,m,59
6537,lily,284,f,38
6537,mike enslin,2338,m,41
6537,sam farrell,160,m,54
6538,burt,2120,m,31
6538,diehl,328,m,67
6538,isaac,552,m,25
6538,job,566,m,11
6538,joseph,135,m,NULL
6538,malachai,335,m,19
6538,sarah,156,f,NULL
6538,vicky,1170,f,28
6539,andrew 'andy' m,1646,m,30
6539,bates,101,m,40
6539,captain hollist,267,m,44
6539,charlene 'charl,1387,f,9
6539,Dr. Rahv,461,f,NULL
6539,irv manders,133,m,66
6539,quincey,106,m,NULL
6539,steinowitz,177,m,NULL
6539,victoria 'vicky,434,f,23
6540,donna trenton,1136,f,35
6540,gary pervier,259,m,43
6540,joe camber,429,m,45
6540,roger breakston,147,m,NULL
6540,tad trenton,449,m,7
6540,vic trenton,672,m,31
6549,Aunt Bedelia,297,f,62
6549,cass blaine (se,297,f,NULL
6549,charlie gereson,303,m,31
6549,dexter stanley ,194,m,56
6549,george,155,m,NULL
6549,harry wentworth,855,m,35
6549,henry northrup ,1971,m,57
6549,jordy verrill (,949,m,35
6549,mike the janito,845,m,66
6549,nate,118,m,NULL
6549,richard vickers,1913,m,56
6549,sylvia grantham,626,f,46
6549,upson pratt (se,1323,m,68
6549,white (segment ,265,m,44
6549,wilma northrup ,579,f,37
6552,barry neiman,202,m,33
6552,beaver,379,m,33
6552,henry,938,m,34
6552,jonesy,740,m,32
6552,kurtz,449,m,NULL
6552,mr gray,202,m,NULL
6552,owen,385,m,42
6552,pete,1046,m,35
6552,roberta cavell,123,f,51
6554,brian rusk,180,m,16
6554,cora rusk,112,f,36
6554,danforth keeton,536,m,50
6554,deputy norris r,439,m,36
6554,hugh priest,147,m,NULL
6554,myrtle keeton,165,f,35
6554,nettie cobb,186,f,36
6554,polly chalmers,361,f,45
6554,reverend rose,121,m,51
6554,sheriff alan pa,1061,m,43
6568,clarice starlin,2265,f,41
6568,crawford,415,m,NULL
6568,dr fell,335,m,NULL
6568,Dr. Doemling,124,m,NULL
6568,fell,600,m,NULL
6568,hannibal lecter,1673,m,64
6568,insp. rinaldo p,703,m,59
6568,mason,282,m,NULL
6568,nurse barney,576,m,52
6568,paul krendler,474,m,47
6568,proprietor,161,m,NULL
6571,anita vanger,292,f,46
6571,armansky,145,m,39
6571,bjurman,460,m,47
6571,cecilia,242,f,61
6571,detective morel,489,m,68
6571,erika berger,473,f,45
6571,frode,765,m,74
6571,harald,206,m,78
6571,harriet,220,f,NULL
6571,henrik vanger,1346,m,82
6571,lisbeth salande,2340,f,26
6571,liv,146,f,40
6571,martin vanger,1605,m,60
6571,mikael blomkvis,3736,m,43
6571,plague,108,m,33
6571,reporter,105,m,NULL
6574,al eustis,104,m,64
6574,anne anderson,255,f,44
6574,james gordon,388,m,48
6574,jan schlichtman,1798,m,44
6574,jerome facher,779,m,67
6574,john riley,204,m,58
6574,judge walter j.,236,m,53
6574,kevin conway,544,m,45
6574,mr. granger,128,m,48
6574,pinder,170,m,41
6574,william cheesem,202,m,38
6576,bonnie waitzkin,875,f,37
6576,bruce pandolfin,741,m,50
6576,dimitri,255,m,NULL
6576,fred waitzkin,2986,m,46
6576,jonathan poe,176,m,NULL
6576,josh waitzkin,2401,m,9
6576,lina,239,f,NULL
6576,merlin,141,m,NULL
6576,poe's teacher,161,m,62
6576,reporter,232,f,NULL
6576,tournament dire,101,m,53
6576,vinnie,1073,m,32
6580,bill robinson,1155,m,24
6580,brett,501,f,28
6580,connie,132,f,22
6580,curt,213,m,NULL
6580,handy,144,m,37
6582,aisha,693,f,25
6582,al-saleem,302,m,43
6582,bassam,385,m,29
6582,ed hoffman,2534,m,44
6582,garland,292,m,51
6582,hani,1757,m,45
6582,holiday,194,m,46
6582,nizar,179,m,37
6582,omar sadiki,187,m,NULL
6582,roger ferris,4522,m,34
6582,skip,136,m,42
6585,bobby garfield,2095,m,12
6585,carol gerber,743,f,14
6585,liz garfield,865,f,37
6585,ted brautigan,2021,m,64
6605,army-jacket,144,m,29
6605,audrey,1027,f,26
6605,bardo,809,m,29
6605,beat girl,142,f,26
6605,candace,177,f,29
6605,Cliffy,101,m,NULL
6605,eno,166,m,NULL
6605,jerome,1713,m,21
6605,jimmy,449,m,57
6605,jonah,244,m,34
6605,marvin bushmill,110,m,33
6605,matthew,163,m,30
6605,Professor Sandi,980,m,53
6605,sophie,258,f,NULL
6605,vince,759,m,30
6607,caberts,157,m,NULL
6607,gina aufiero,121,f,42
6607,len,408,m,NULL
6607,melissa,165,f,NULL
6607,parking garage ,207,f,NULL
6607,paul aufiero,1750,m,40
6607,philadelphia ph,468,m,39
6607,randy clark,115,m,NULL
6607,sal,512,m,40
6607,theresa,164,f,NULL
6610,blonde woman,295,f,NULL
6610,charles,166,m,NULL
6610,curly,1203,m,37
6610,heavyset woman,111,f,73
6610,larry,1206,m,42
6610,lydia,257,f,40
6610,moe,1831,m,37
6610,Mother Superior,353,f,52
6610,mr wiley,232,m,NULL
6610,mrs wiley,141,f,NULL
6610,Sister Rosemary,226,f,31
6610,teddy,447,m,35
6611,bud dodge,291,m,41
6611,custodian,440,m,36
6611,gas station own,111,m,NULL
6611,gil kinney,891,m,26
6611,jim dodge,4601,m,28
6611,josie mcclellan,2585,f,21
6611,nestor pyle,947,m,28
6611,officer don,157,m,51
6611,penny dodge,174,f,24
6611,roger roy mccle,217,m,60
6611,young man,313,m,NULL
6612,anise hall,139,f,NULL
6612,bernard oxbar,464,m,49
6612,bill dancer,2950,m,37
6612,curly sue,1806,f,10
6612,grey ellison,3269,f,32
6612,theater patron,149,m,31
6612,walker mccormic,1371,m,45
6613,arno crostic,116,m,NULL
6613,benjamin pierce,141,m,38
6613,braedon keller,439,m,44
6613,cameron vale,1317,m,35
6613,darryl revok,780,m,31
6613,dr. paul ruth,1474,m,53
6613,kim obrist,532,f,33
6614,andré petrescu,206,m,47
6614,anthony adubato,613,m,83
6614,benno levin,1224,m,45
6614,brutha fez,128,m,34
6614,didi fancher,281,f,48
6614,elise shifrin,617,f,25
6614,eric packer,3107,m,26
6614,ibrahim hamadou,305,m,47
6614,jane melman,496,f,31
6614,kendra hays,186,f,NULL
6614,michael chin,211,m,NULL
6614,shiner,224,m,30
6614,torval,480,m,38
6614,vija kinsky,698,f,35
6617,adele,755,f,45
6617,dr. pinchelow,850,m,61
6617,dr. walcott,244,f,NULL
6617,fraida,560,f,60
6617,harry,3503,m,59
6617,lloyd,4017,m,52
6617,ms. sourpuss,170,f,NULL
6617,penny,1054,f,29
6617,travis,691,m,44
6622,colonel montfor,177,m,NULL
6622,doctok,695,m,NULL
6622,doctoyd,588,m,NULL
6622,fisk,104,m,NULL
6622,gwen's maid,1226,f,29
6622,lawrence talbot,2790,m,43
6622,maleva,130,f,66
6622,rag picker,351,m,NULL
6622,sir john talbot,2223,m,73
6622,squire strickla,702,m,NULL
6625,bill,423,m,NULL
6625,cecilia,625,f,NULL
6625,clancy,302,m,NULL
6625,clarence pool,4241,m,24
6625,clifford,327,m,NULL
6625,cute girl,101,f,NULL
6625,eddie,688,m,NULL
6625,lenny otis,101,m,NULL
6625,mickey burnett,1688,m,NULL
6625,misty,941,f,NULL
6625,oliver brandon,135,m,NULL
6625,ronny,278,m,NULL
6634,hassan,2005,m,31
6634,jean-pierre,227,m,38
6634,Madame Mallory,1062,f,69
6634,Mahira,173,f,NULL
6634,mama,440,f,47
6634,Marguerite,1116,f,28
6634,mayor,586,m,62
6634,paul,295,m,43
6649,charlie hollowa,793,m,36
6649,david,1143,m,35
6649,elizabeth shaw,1242,f,33
6649,fifield,207,m,46
6649,janek,736,m,40
6649,meredith vicker,504,f,37
6649,peter weyland,611,m,45
6672,betty ross,118,f,33
6672,bruce banner,1935,m,35
6672,capt siegel,173,m,NULL
6672,doc samson,198,m,NULL
6672,leder,2198,m,NULL
6672,marlo,277,f,NULL
6672,rick jones,1687,m,NULL
6672,ross,1021,m,59
6672,simple man,102,m,NULL
6672,talbot,577,m,32
6672,technician,150,f,32
6672,vince,205,m,NULL
6674,frank castle,816,m,35
6674,frank sr,157,m,NULL
6674,howard saint,232,m,50
6674,joan,101,f,32
6674,john saint,127,m,29
6674,leonard glass,160,m,NULL
6674,nicky duka,237,m,NULL
6674,tattooed mike,152,m,32
6679,dr. otto octavi,2459,m,51
6679,girl,161,f,NULL
6679,harry osborn,672,m,26
6679,J. Jonah Jameso,764,m,49
6679,Mary Jane Watso,1335,f,22
6679,may parker,614,f,77
6679,mr. aziz,254,m,38
6679,Norman Osborn,146,m,51
6679,peter parker,2193,m,29
6701,brogan-moore,243,m,54
6701,carter,438,m,61
6701,christine,1867,f,56
6701,inspector hearn,332,m,60
6701,janet mackenzie,520,f,77
6701,judge,204,m,72
6701,leonard vole,2818,m,43
6701,mayhew,460,m,63
6701,miss plimsoll,410,f,55
6701,mr. myers,1095,m,52
6701,sir wilfrid rob,4462,m,58
6707,cheech,744,m,42
6707,David Shayne,1358,m,28
6707,ellen,327,f,46
6707,helen sinclair,954,f,46
6707,julian marx,494,m,74
6707,nick valenti,674,m,57
6707,olive neal,402,f,36
6707,rocco,141,m,52
6707,sheldon flender,107,m,47
6707,warner purcell,117,m,45
6709,cookie,147,f,38
6709,harry block,1171,m,62
6709,harvey stern,217,m,22
6709,helen,238,f,35
6709,hilly,142,m,11
6709,joan,278,f,46
6709,ken,199,m,59
