title,numworks
1984 (1984), 1
10 Cloverfield Lane (2016), 11
10 Things I Hate About You (1999), 49
The 10 Year Plan (2014), 1
10 Years (2011), 4
100回泣くこと | 100 Kai Naku Koto | Crying 100 Times: Every Raindrop Falls (2013), 1
10000 BC (2008), 1
101 Dalmatians - All Media Types, 55
101 Dalmatians (1961), 16
101 Dalmatians (1996), 8
12 Angry Men (1957), 5
12 Monkeys (1995), 2
12 Rounds (2009), 1
12 Years a Slave (2013), 4
13 (2010), 1
13 Going On 30 (2004), 7
13 Hours: The Secret Soldiers of Benghazi (2016), 1
The 13th Warrior (1999), 29
錦衣衛 | 14 Blades (2010), 1
1492: Conquest of Paradise (1992), 3
15 (2003), 1
17 Again (2009), 8
1776 (1972), 64
1984 (1984), 1
28 Weeks Later (2007), 34
2 Fast 2 Furious (2003), 123
2 Guns (2013), 5
20 Million Miles to Earth (1957), 1
2001 Maniacs (2005), 1
2001 Maniacs: Field of Screams (2010), 5
2001: A Space Odyssey (1968), 42
2002 | Special Unit 2002 (2001), 4
2012 (2009), 4
21 & Over (2013), 2
21 (2008), 2
21 Jump Street (Movies), 42
21 Jump Street - All Media Types, 172
27 Dresses (2008), 4
28 Days (2000), 2
28 Days Later (2002), 31
28 Weeks Later (2007), 34
3:10 to Yuma (2007), 125
他她他 | 3 Peas in a Pod (2013), 1
30 Days of Night (2007), 6
300 (2006), 41
300: Rise of an Empire (2014), 11
The 39 Steps - All Media Types, 1
3:10 to Yuma (2007), 125
4th Man Out (2015), 9
40 Year-Old Virgin (2005), 4
46-okunen no Koi | Big Bang Love Juvenile A (2006), 1
47 Ronin (2013), 42
4th Man Out (2015), 9
54 (1998), 1
5 to 7 (2014), 1
50 First Dates (2004), 4
50/50 (2011), 14
(500) Days of Summer (2009), 36
The 5000 Fingers of Dr. T. (1953), 2
54 (1998), 1
7 Days In Hell (2015), 1
7 Days In Hell (2015), 1
8UPPERS (2010), 21
8 femmes (2002), 7
8 Mile (2002), 3
8MM (1999), 5
8UPPERS (2010), 21
99 Homes (2014), 1
9 (2009), 57
9 to 5 (1980), 2
Der 90. Geburtstag | Dinner for One (1963), 3
96 Ways to Say I Love You (2015), 1
964 Pinocchio (1991), 1
99 Homes (2014), 1
あずみ | Azumi (Movies), 1
The A-Team (2010), 626
The A-Team - All Media Types, 1017
A.I. Artificial Intelligence (2001), 64
Abbott and Costello Meet Frankenstein (1948), 1
Abduction (2011), 2
The Abduction Club (2002), 2
About a Boy (2002), 3
About Adam (2000), 1
About Time (2013 Curtis), 2
Abraham Lincoln: Vampire Hunter (2012), 80
Absentia (2011), 1
Absolute Giganten | Gigantic (1999), 1
The Abyss (1989), 18
Accepted (2006), 2
The Accidental Husband (2008), 1
The Accountant (2016), 13
Ace Ventura (Movies), 13
Across the Universe (2007), 46
Adam (2009), 445
Adams æbler | Adam's Apples (2005), 5
The Addams Family (1991), 127
Addams Family - All Media Types, 366
Les adieux à la reine | Farewell My Queen (2012), 4
Adjustment Bureau (2011), 14
Adore (2013), 6
Adult Beginners (2014), 1
Advantageous (2015), 1
Adventureland (2009), 7
Adventures in Babysitting (1987), 20
Adventures in Babysitting (2016), 8
The Adventures of Baron Munchausen (1988), 1
The Adventures of Buckaroo Banzai Across The 8th Dimension (1984), 75
