name, movie, percent of dialogue, percent of fanworks, age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works, AO3 fandom, title distance
betty,The Bridges of Madison County,0.0486393493901,0.00070461832386,35,f,1995,280,tt0112579,6394,142,149,Marvel,0.00394088669951
carolyn johnson,The Bridges of Madison County,0.13653425086,0.142857142857,None,f,1995,280,tt0112579,6394,142,1,The Bridges of Madison County - All Media Types,0.0162374020157
eleanor,The Bridges of Madison County,0.0215827338129,0.0391695643281,None,f,1995,280,tt0112579,6394,142,383,NCIS,0.00208986415883
francesca johns,The Bridges of Madison County,0.352048795746,0.0,46,f,1995,280,tt0112579,6394,142,0,,1
madge,The Bridges of Madison County,0.0297153581483,3.7800275942e-05,46,f,1995,280,tt0112579,6394,142,6,Supernatural,0.0067283431455
michael johnson,The Bridges of Madison County,0.113074757585,0.142857142857,38,m,1995,280,tt0112579,6394,142,1,The Bridges of Madison County - All Media Types,0.0162374020157
robert kincaid,The Bridges of Madison County,0.298404754457,0.571428571429,65,m,1995,280,tt0112579,6394,142,4,The Bridges of Madison County - All Media Types,0.0162374020157
bobby korfin,15 Minutes,0.0360122968819,0.0,None,m,2001,623,tt0179626,9108,37,0,,1
daphne handlova,15 Minutes,0.0449055775143,0.0,28,f,2001,623,tt0179626,9108,37,0,,1
deputy chief fi,15 Minutes,0.0380983750549,0.0,None,m,2001,623,tt0179626,9108,37,0,,1
detective eddie,15 Minutes,0.22178304787,0.0,58,m,2001,623,tt0179626,9108,37,0,,1
detective leon ,15 Minutes,0.0401844532279,0.0,53,m,2001,623,tt0179626,9108,37,0,,1
detective tommy,15 Minutes,0.0175669740887,0.0,25,m,2001,623,tt0179626,9108,37,0,,1
emil slovak,15 Minutes,0.146794027229,0.0,39,m,2001,623,tt0179626,9108,37,0,,1
fire marshal jo,15 Minutes,0.184782608696,0.0,33,m,2001,623,tt0179626,9108,37,0,,1
honey the hooke,15 Minutes,0.0162494510321,0.0,None,f,2001,623,tt0179626,9108,37,0,,1
nicolette karas,15 Minutes,0.0879446640316,0.0,34,f,2001,623,tt0179626,9108,37,0,,1
oleg razgul,15 Minutes,0.0667545015371,0.0,34,m,2001,623,tt0179626,9108,37,0,,1
robert hawkins,15 Minutes,0.0654369784805,0.0947867298578,46,m,2001,623,tt0179626,9108,37,20,Jericho (US 2006),0.00435729847495
rose hearn,15 Minutes,0.018225735617,0.0,26,f,2001,623,tt0179626,9108,37,0,,1
stephen geller,15 Minutes,0.0152613087396,0.0,25,m,2001,623,tt0179626,9108,37,0,,1
dr. andrei smys,2001: A Space Odyssey,0.0511247443763,0.0,42,m,1968,625,tt0062622,4401,376,0,,1
dr. bill michae,2001: A Space Odyssey,0.0343103840036,0.0,47,m,1968,625,tt0062622,4401,376,0,,1
dr. dave bowman,2001: A Space Odyssey,0.177232447171,0.0,32,m,1968,625,tt0062622,4401,376,0,,1
dr. frank poole,2001: A Space Odyssey,0.17087025676,0.0,31,m,1968,625,tt0062622,4401,376,0,,1
dr. heywood r. ,2001: A Space Odyssey,0.214042263122,0.0,46,m,1968,625,tt0062622,4401,376,0,,1
dr. ralph halvo,2001: A Space Odyssey,0.208588957055,0.0,59,m,1968,625,tt0062622,4401,376,0,,1
elena,2001: A Space Odyssey,0.0352192683481,0.324189526185,37,f,1968,625,tt0062622,4401,376,130,The Vampire Diaries - L. J. Smith,0.00561167227834
miller,2001: A Space Odyssey,0.0320381731425,0.000920433626508,40,m,1968,625,tt0062622,4401,376,9,NCIS,0.00380952380952
pilot,2001: A Space Odyssey,0.0765735060214,0.00128083491461,None,m,1968,625,tt0062622,4401,376,27,Star Wars Episode VII: The Force Awakens (2015),0.00438047559449
agent brzowski,25th Hour,0.0273391235689,0.0,None,m,2002,630,tt0307901,10132,19,0,,1
frank slaughter,25th Hour,0.147552309514,0.0,32,m,2002,630,tt0307901,10132,19,0,,1
gedny,25th Hour,0.0176667982629,0.0,None,m,2002,630,tt0307901,10132,19,0,,1
jacob elinsky,25th Hour,0.127516778523,0.0,35,m,2002,630,tt0307901,10132,19,0,,1
kostya novotny,25th Hour,0.0779707856297,0.0,35,m,2002,630,tt0307901,10132,19,0,,1
lichter,25th Hour,0.0212198973549,0.0,None,m,2002,630,tt0307901,10132,19,0,,1
louis volandes,25th Hour,0.011350177655,0.0,39,m,2002,630,tt0307901,10132,19,0,,1
marcuse,25th Hour,0.012435846822,0.0,26,m,2002,630,tt0307901,10132,19,0,,1
