name, movie, percent of dialogue, percent of fanworks (literal), percent of fanworks (including sub tags), age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works in closest fandom (literal), AO3 works in closest fandom (including fandom subtags), AO3 closest fandom,title similarity
betty,The Bridges of Madison County,0.0486393493901,-1,-1,35,f,1995,280,tt0112579,6394,142,-1,0,,0
carolyn johnson,The Bridges of Madison County,0.13653425086,-1,-1,None,f,1995,280,tt0112579,6394,142,-1,0,,0
eleanor,The Bridges of Madison County,0.0215827338129,-1,-1,None,f,1995,280,tt0112579,6394,142,-1,0,,0
francesca johns,The Bridges of Madison County,0.352048795746,-1,-1,46,f,1995,280,tt0112579,6394,142,-1,0,,0
madge,The Bridges of Madison County,0.0297153581483,-1,-1,46,f,1995,280,tt0112579,6394,142,-1,0,,0
michael johnson,The Bridges of Madison County,0.113074757585,-1,-1,38,m,1995,280,tt0112579,6394,142,-1,0,,0
robert kincaid,The Bridges of Madison County,0.298404754457,-1,-1,65,m,1995,280,tt0112579,6394,142,-1,0,,0
bobby korfin,15 Minutes,0.0360122968819,-1,-1,None,m,2001,623,tt0179626,9108,37,-1,0,,0
daphne handlova,15 Minutes,0.0449055775143,-1,-1,28,f,2001,623,tt0179626,9108,37,-1,0,,0
deputy chief fi,15 Minutes,0.0380983750549,-1,-1,None,m,2001,623,tt0179626,9108,37,-1,0,,0
detective eddie,15 Minutes,0.22178304787,-1,-1,58,m,2001,623,tt0179626,9108,37,-1,0,,0
detective leon ,15 Minutes,0.0401844532279,-1,-1,53,m,2001,623,tt0179626,9108,37,-1,0,,0
detective tommy,15 Minutes,0.0175669740887,-1,-1,25,m,2001,623,tt0179626,9108,37,-1,0,,0
emil slovak,15 Minutes,0.146794027229,-1,-1,39,m,2001,623,tt0179626,9108,37,-1,0,,0
fire marshal jo,15 Minutes,0.184782608696,-1,-1,33,m,2001,623,tt0179626,9108,37,-1,0,,0
honey the hooke,15 Minutes,0.0162494510321,-1,-1,None,f,2001,623,tt0179626,9108,37,-1,0,,0
nicolette karas,15 Minutes,0.0879446640316,-1,-1,34,f,2001,623,tt0179626,9108,37,-1,0,,0
oleg razgul,15 Minutes,0.0667545015371,-1,-1,34,m,2001,623,tt0179626,9108,37,-1,0,,0
robert hawkins,15 Minutes,0.0654369784805,-1,-1,46,m,2001,623,tt0179626,9108,37,-1,0,,0
rose hearn,15 Minutes,0.018225735617,-1,-1,26,f,2001,623,tt0179626,9108,37,-1,0,,0
stephen geller,15 Minutes,0.0152613087396,-1,-1,25,m,2001,623,tt0179626,9108,37,-1,0,,0
dr. andrei smys,2001: A Space Odyssey,0.0511247443763,-1,-1,42,m,1968,625,tt0062622,4401,376,0,0,,0
dr. bill michae,2001: A Space Odyssey,0.0343103840036,-1,-1,47,m,1968,625,tt0062622,4401,376,0,0,,0
dr. dave bowman,2001: A Space Odyssey,0.177232447171,-1,-1,32,m,1968,625,tt0062622,4401,376,0,0,,0
dr. frank poole,2001: A Space Odyssey,0.17087025676,-1,-1,31,m,1968,625,tt0062622,4401,376,0,0,,0
dr. heywood r. ,2001: A Space Odyssey,0.214042263122,-1,-1,46,m,1968,625,tt0062622,4401,376,0,0,,0
dr. ralph halvo,2001: A Space Odyssey,0.208588957055,-1,-1,59,m,1968,625,tt0062622,4401,376,0,0,,0
