name, movie, percent of dialogue, percent of fanworks (literal), percent of fanworks (including sub tags), age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works in closest fandom (literal), AO3 works in closest fandom (including fandom subtags), AO3 closest fandom,title similarity
barr,Jack Reacher,0.0388935456832,-1,-1,None,m,2012,6495,tt0790724,5965,87,-1,0,,0
cash,Jack Reacher,0.0576697401509,-1,-1,81,m,2012,6495,tt0790724,5965,87,-1,0,,0
charlie,Jack Reacher,0.0653813914501,-1,-1,26,m,2012,6495,tt0790724,5965,87,-1,0,,0
emerson,Jack Reacher,0.135792120704,-1,-1,36,m,2012,6495,tt0790724,5965,87,-1,0,,0
helen,Jack Reacher,0.410729253982,-1,-1,33,f,2012,6495,tt0790724,5965,87,-1,0,,0
linsky,Jack Reacher,0.0315171835708,-1,-1,35,m,2012,6495,tt0790724,5965,87,-1,0,,0
rob farrior,Jack Reacher,0.0313495389774,-1,-1,58,m,2012,6495,tt0790724,5965,87,-1,0,,0
rodin,Jack Reacher,0.0831517183571,-1,-1,65,m,2012,6495,tt0790724,5965,87,-1,0,,0
sandy,Jack Reacher,0.0435875943001,-1,-1,20,f,2012,6495,tt0790724,5965,87,-1,0,,0
the zec,Jack Reacher,0.0687342833194,-1,-1,70,m,2012,6495,tt0790724,5965,87,-1,0,,0
woman on bus,Jack Reacher,0.0331936295054,-1,-1,None,f,2012,6495,tt0790724,5965,87,-1,0,,0
amy courtland,Obsession,0.0232558139535,-1,-1,None,f,1976,6509,tt0074991,5547,None,0,0,,0
dr. ellman,Obsession,0.0407427438255,-1,-1,53,m,1976,6509,tt0074991,5547,None,0,0,,0
farber,Obsession,0.027041644132,-1,-1,None,m,1976,6509,tt0074991,5547,None,0,0,,0
insp. brie,Obsession,0.0555255092843,-1,-1,65,m,1976,6509,tt0074991,5547,None,0,0,,0
jane,Obsession,0.0257797007391,0.0621526023244,0.0621526023244,38,f,1976,6509,tt0074991,5547,None,861,861,Iron Man (Movies),0.117647058824
michael courtla,Obsession,0.365062195782,-1,-1,53,m,1976,6509,tt0074991,5547,None,0,0,,0
newscaster,Obsession,0.0315485848206,-1,-1,50,m,1976,6509,tt0074991,5547,None,0,0,,0
Robert Lasalle,Obsession,0.158103479358,-1,-1,31,m,1976,6509,tt0074991,5547,None,0,0,,0
sandra portinar,Obsession,0.25202812331,-1,-1,34,f,1976,6509,tt0074991,5547,None,0,0,,0
ticket agent,Obsession,0.0209122047954,-1,-1,40,m,1976,6509,tt0074991,5547,None,0,0,,0
detective,The Long Goodbye,0.0371459112774,-1,-1,None,f,1973,6511,tt0070334,7484,None,-1,0,,0
detective farme,The Long Goodbye,0.032736504543,-1,-1,52,m,1973,6511,tt0070334,7484,None,-1,0,,0
dr. verringer,The Long Goodbye,0.0499732763228,-1,-1,38,m,1973,6511,tt0070334,7484,None,-1,0,,0
jefe,The Long Goodbye,0.0192410475681,-1,-1,53,m,1973,6511,tt0070334,7484,None,-1,0,,0
marty augustine,The Long Goodbye,0.0443613041154,-1,-1,44,m,1973,6511,tt0070334,7484,None,-1,0,,0
morgan,The Long Goodbye,0.0304649919829,-1,-1,36,m,1973,6511,tt0070334,7484,None,-1,0,,0
philip marlowe,The Long Goodbye,0.493586317477,-1,-1,35,m,1973,6511,tt0070334,7484,None,-1,0,,0
roger wade,The Long Goodbye,0.20871191876,-1,-1,57,m,1973,6511,tt0070334,7484,None,-1,0,,0
terry lennox,The Long Goodbye,0.083778727953,-1,-1,34,m,1973,6511,tt0070334,7484,None,-1,0,,0
captain jack wa,Street Kings,0.138739112401,-1,-1,47,m,2008,6512,tt0421073,9644,31,-1,0,,0
captain james b,Street Kings,0.0620074657818,-1,-1,49,m,2008,6512,tt0421073,9644,31,-1,0,,0
